content,username,description,retweet_count
"⚡️Володимир Кличко звернувся до демократичного світу із закликом негайно допомогти зупинити війну Росії проти України. 

Друзі, поширюйте серед ваших англомовних знайомих. Весь світ — всіми можливими способами — має зосередити свої зусилля на тому, щоб ця війна припинилась! https://t.co/mt5Jmmu6hr",,,7351
"Президент України Володимир Зеленський відвідав у госпіталі поранених захисників України 🇺🇦

🔊 «Хлопці, швидше одужуйте. Вірю: найкращим подарунком до вашої виписки буде наша спільна перемога!» - зазначив @ZelenskyyUa https://t.co/lHYZJHWvp8",,,5848
"💬Президент України Володимир Зеленський:
""Всі ми тут - захищаємо нашу Незалежність, нашу державу! Так буде й надалі. Слава нашим захисникам і захисницям! Слава Україні!🇺🇦"" https://t.co/hojX94ONDI",,,5346
"В бою загинув льотчик-винищувач Олександр Оксанченко. 
Він був одним з найкращих!
В бою відволікав авіацію ворога на себе. 
Президент України Володимир Зеленський посмертно нагородив Олександра Оксанченко званням Герой України!
Вічна пам'ять! https://t.co/chxoYf8Unw",,,2799
"⚡️Володимир Кличко звернувся до громадян Німеччини, Австрії, Щвейцарії, Ліхтенштейну та всіх країн вільної Європи підтримати Україну і її захисників благодійними внесками. https://t.co/SX9d0sZ4sS",,,2628
"На митинг в Санкт-Петербурге вышла 84-летняя Ирина Анохина, которая прошла Великую Отечественную войну.

«президент, во-первых, сумасшедший, во-вторых, фашист» 

Войны не хочет никто, кроме Путина. https://t.co/h0rWJpxxtX",,,2569
"Володимир Ковальський.
У 2016-му році під час виконання бойового завдання втратив обидві кінцівки.
Після повномасштабного вторгнення армії РФ до України взяв до рук зброю та пішов захищати рідне місто Буча.
Вчора Володимир загинув у боях з російськими військами… https://t.co/Jsk3Ck2kSG",,,2408
"Президент України @ZelenskyyUa поспілкувався зі звільненим із полону мером Мелітополя Іваном Федоровим.

""Мы не бросаем наших"", - зазначив Президент. https://t.co/Uiyj9gF1RQ",,,2200
"Итого на сегодня в России:
- уничтожены почти все независимые СМИ
- вся политическая оппозиция уничтожена
- развязана война с Украиной
- войну запрещают называть войной
- бывший президент пишет про возвращение смертной казни

Это настоящее фашистское государство",,,2118
"“Президент Зеленський оголосив про формування нового підрозділу – «Інтернаціональний легіон».
В нас вже декілька тис. заяв від іноземних громадян, які бажають долучитися до опору 🇷🇺 окупантам та захисту світової безпеки від путінського режиму»- Ганна Маляр",,,2054
"This is a rhetorical question. I know Putin is in his Ural bunker. The point is ... Putin is hunkering down in his bunker in the Urals, while Zelenskiy and Shmyhal are having coffee with the troops on the frontline. And so I ask again. Where is Putin? Ребята, где ваш президент?",,,1676
"🔊 «Ми вдома і захищаємо Україну. Ніякої зброї ми складати не збираємось. До нашої перемоги», - Президент України @ZelenskyyUa https://t.co/IkfDxLzqne",,,1580
"Лукашенко, після розмови із Зеленським, жаліється, що ""президент України вважає Білорусь агресором"".
А як ще називається країна, з території якої на нас пруть танки та вилітають бомбардувальники і ракети, щоб вбивати українців на українській землі?!",,,1539
"Президент Швейцарии заявил, что Швейцария больше не нейтральная страна и против России будут применены все санкции. Заставить Швейцарию отказаться от своего нейтрального статуса не мог никто с 1815 года. Мир за это время пережил две мировые и кучу других войн.",,,1530
"Головнокомандувачу ЗС України генерал-лейтенанту Валерію Залужному присвоєно звання ""генерал"".

Про це у своєму виступі заявив Президент України Володимир Зеленський.

ВІТАЄМО!!!
#stoprussia https://t.co/3Qxm9wApPz",,,1489
"Повертаючись до України зі США, у Варшаві мене прийняв Президент Польщі Анджей Дуда. Глава Польської держави висловив захоплення поляків діями Збройних Сил України, які успішно відбивають агресію РФ. Польща надає практичну допомогу: додаткові зброю, гроші та гуманітарну допомогу.",,,1446
"🕯Сергій Васіч обороняв позиції на Київщині. 
Він знищив ворожу техніку та значну кількість живої сили ворога. 
Посмертно йому присвоїли звання Героя України з удостоєнням ордена «Золота Зірка». Відповідний указ підписав Президент України 12 березня.
Вічна пам’ять Герою! https://t.co/s2k6ubCX07",,,1400
Президент Молдовы потребовала от РФ немедленно вывести войска из территории Молдовы Приднестровья https://t.co/SLRI8HE0cI,,,1341
"Президент України @ZelenskyyUa :
Торік я попереджав лідерів @NATO: якщо проти 🇷🇺 не буде жорстких превентивних санкцій – вона піде війною.Я мав рацію. Повторю: якщо ви не закриєте наше небо, то російські ракети впадуть і на вашу територію, на територію НАТО. Це лише питання часу. https://t.co/MSZRGVqt9g",,,1306
"""Я поранений, залишилося недовго!"" Заступник мера Нової Каховки встиг записати прощальне відео перед смертю
Ветеран АТО Володимир Арнаут закликав українців боротися до кінця
Помстимося!
#stoprussia
Telegram - https://t.co/GLExONwd4u https://t.co/IRqhbJ9NC4",,,1253
Во время Второй мировой войны четыре брата из одной еврейской семьи записались воевать против нацистов. Выжил только один из четырех братьев. Его внук – президент Украины Владимир Зеленский. https://t.co/WjUQ2L4h0N,,,1246
"❗❗❗ Майже 9000 вбитих 🇷🇺 окупантів за один тиждень війни!
“Кожен окупант повинен знати: вони отримають від українців люту відсіч. Таку, що назавжди запам'ятають, що ми свого не віддамо!” - Президент України Володимир Зеленський https://t.co/V4trwWICT8",,,1217
"Пора уже всем россиянам с мозгами перестать быть «вне политики». 

Не молчите. Не делайте вид, что в стране все нормально. Не нормально. 

Президент — вор и убийца. Мы, россияне, можем жить в миролюбивой благополучной стране, без войны и коррупции, но при Путине это невозможно.",,,1212
"Володимир Андрійченко поїхав забирати поранених та вбитих побратимів і загинув сам. Учасник двох революцій – Помаранчевої та Гідності, ветеран АТО, голова Чернігівського осередку Комітету виборців. 16 березня близу Чернігова. Залишилася дружина, 13-річна донька. Смерть ворогам! https://t.co/wnhhUsRaRh",,,1134
❗️❗️❗️❗️Президент України Володимир Зеленський підписав заявку на членство України в Європейському Союзі. https://t.co/IKiGpOlIzI,,,1109
"Кстати, а теперь ведь не кажется конспирологией, что президент Качинский был именно убит?",,,1092
"Президент Швейцарии заявил, что Швейцария больше не нейтральная страна и против России будут применены все санкции. Заставить Швейцарию отказаться от своего нейтрального статуса не мог никто с 1815 года. Мир за это время пережил две мировые и кучу других войн. 
Слава Украине!",,,1064
"Президент РФ обьявил о капитуляции россии. Русский солдат, бросай оружие и иди домой, пока жив! https://t.co/5wWC3UlpYr",,,1054
"Президент Турции: Если бы международное сообщество в 2014 году выступило единым фронтом против несправедливой аннексии Крыма, сегодня ситуация была бы иной.",,,1016
"Володимир Зеленський звернувся до всіх громадян іноземних держав, які є друзями України. Усі, хто хоче приєднатися до захисту безпеки у Європі та світі, можуть приїхати й стати пліч-о-пліч з українцями проти загарбників XXI століття.

Читати текст: https://t.co/RkugEktyrV",,,949
